Rank,Player,Points,Country,Characters
1,"Bowser",6089,"","Bowser"
2,"Byleth",5964,"","Byleth"
3,"Ridley",5658,"","Ridley"
4,"King K. Rool",5619,"","King K Rool"
5,"King Dedede",5500,"","King Dedede"
6,"Terry",5422,"","Terry"
7,"Donkey Kong",5405,"","Donkey Kong"
8,"Incineroar",5397,"","Incineroar"
9,"Sora",5366,"","Sora"
10,"Mii Brawler",5343,"","Mii Brawler"
11,"Pyra/Mythra",5335,"","Pyra / Mythra"
12,"Captain Falcon",5247,"","Captain Falcon"
13,"Kazuya",5232,"","Kazuya"
14,"Kirby",5230,"","Kirby"
15,"Piranha Plant",5186,"","Piranha Plant"
16,"Mii Gunner",5177,"","Mii Gunner"
17,"Ganondorf",5151,"","Ganondorf"
18,"Min Min",5115,"","Min Min"
19,"Olimar",5064,"","Olimar"
20,"Link",5057,"","Link"
