Rank,Player,Points,Country,Characters
1,"Byleth",6169,"","Byleth"
2,"Bowser",5914,"","Bowser"
3,"Incineroar",5894,"","Incineroar"
4,"Terry",5797,"","Terry"
5,"Sora",5639,"","Sora"
6,"Kazuya",5617,"","Kazuya"
7,"Link",5605,"","Link"
8,"Donkey Kong",5570,"","Donkey Kong"
9,"King Dedede",5469,"","King Dedede"
10,"King K. Rool",5431,"","King K Rool"
11,"Ryu",5405,"","Ryu"
12,"Mii Brawler",5392,"","Mii Brawler"
13,"Ganondorf",5344,"","Ganondorf"
14,"Mii Gunner",5328,"","Mii Gunner"
15,"Pyra/Mythra",5271,"","Pyra / Mythra"
16,"Ridley",5245,"","Ridley"
17,"Hero",5205,"","Hero"
18,"Dr. Mario",5171,"","Dr Mario"
19,"Mii Swordfighter",5087,"","Mii Swordfighter"
20,"Lucas",5082,"","Lucas"
21,"Banjo & Kazooie",5065,"","Banjo-Kazooie"
22,"Ness",5062,"","Ness"
23,"Young Link",5021,"","Young Link"
24,"Captain Falcon",5013,"","Captain Falcon"
25,"Zelda",4973,"","Zelda"
26,"Joker",4951,"","Joker"
27,"Cloud",4942,"","Cloud"
28,"Isabelle",4919,"","Isabelle"
29,"Piranha Plant",4900,"","Piranha Plant"
30,"Daisy",4855,"","Daisy"
31,"Mario",4830,"","Mario"
32,"Sephiroth",4824,"","Sephiroth"
33,"Marth",4786,"","Marth"
34,"Dark Pit",4760,"","Dark Pit"
35,"Greninja",4747,"","Greninja"
36,"Robin",4747,"","Robin"
37,"Falco",4737,"","Falco"
38,"Roy",4728,"","Roy"
39,"Corrin",4693,"","Corrin"
40,"Chrom",4641,"","Chrom"
41,"Diddy Kong",4634,"","Diddy Kong"
42,"Yoshi",4592,"","Yoshi"
43,"Mega Man",4538,"","Mega Man"
44,"Shulk",4523,"","Shulk"
45,"Min Min",4516,"","Min Min"
46,"Inkling",4509,"","Inkling"
47,"Pichu",4495,"","Pichu"
48,"Pit",4491,"","Pit"
49,"Mewtwo",4464,"","Mewtwo"
50,"Olimar",4459,"","Olimar"
51,"Dark Samus",4442,"","Dark Samus"
52,"Duck Hunt",4414,"","Duck Hunt"
53,"Meta Knight",4361,"","Meta Knight"
54,"Wii Fit Trainer",4351,"","Wii Fit Trainer"
55,"Bowser Jr.",4349,"","Bowser Jr"
56,"Steve",4345,"","Steve"
57,"Pac-Man",4343,"","Pac Man"
58,"Snake",4334,"","Snake"
59,"Ice Climbers",4329,"","Ice Climbers"
60,"Ike",4316,"","Ike"
61,"Samus",4313,"","Samus"
62,"Kirby",4272,"","Kirby"
63,"Palutena",4263,"","Palutena"
64,"Pokemon Trainer",4253,"","Pokemon Trainer"
65,"Little Mac",4242,"","Little Mac"
66,"Fox",4215,"","Fox"
67,"Pikachu",4204,"","Pikachu"
68,"Toon Link",4197,"","Toon Link"
69,"Rosalina & Luma",4177,"","Rosalina And Luma"
70,"Lucina",4124,"","Lucina"
71,"Jigglypuff",4122,"","Jigglypuff"
72,"Villager",4088,"","Villager"
73,"Sheik",3987,"","Sheik"
74,"Simon",3962,"","Simon"
75,"Richter",3951,"","Richter"
76,"Mr. Game & Watch",3919,"","Mr Game And Watch"
77,"Rob",3894,"","Rob"
78,"Lucario",3785,"","Lucario"
79,"Luigi",3759,"","Luigi"
80,"Wario",3704,"","Wario"
81,"Zero Suit Samus",3566,"","Zero Suit Samus"
82,"Peach",3565,"","Peach"
83,"Wolf",3538,"","Wolf"
84,"Sonic",3508,"","Sonic"
85,"Bayonetta",3452,"","Bayonetta"
86,"Ken",3365,"","Ken"
