Rank,Player,Points,Country,Characters
1,"Byleth",6053,"","Byleth"
2,"King K. Rool",5995,"","King K Rool"
3,"Incineroar",5861,"","Incineroar"
4,"King Dedede",5786,"","King Dedede"
5,"Ridley",5617,"","Ridley"
6,"Terry",5527,"","Terry"
7,"Bowser",5490,"","Bowser"
8,"Kazuya",5466,"","Kazuya"
9,"Donkey Kong",5460,"","Donkey Kong"
10,"Min Min",5392,"","Min Min"
11,"Mii Gunner",5358,"","Mii Gunner"
12,"Mii Brawler",5348,"","Mii Brawler"
13,"Pyra/Mythra",5346,"","Pyra / Mythra"
14,"Ryu",5321,"","Ryu"
15,"Link",5250,"","Link"
16,"Ganondorf",5249,"","Ganondorf"
17,"Captain Falcon",5241,"","Captain Falcon"
18,"Mii Swordfighter",5208,"","Mii Swordfighter"
19,"Zelda",5139,"","Zelda"
20,"Kirby",5134,"","Kirby"
21,"Sora",5052,"","Sora"
22,"Pokemon Trainer",4992,"","Pokemon Trainer"
23,"Corrin",4992,"","Corrin"
24,"Shulk",4968,"","Shulk"
25,"Dark Samus",4966,"","Dark Samus"
26,"Little Mac",4936,"","Little Mac"
27,"Lucas",4932,"","Lucas"
28,"Ike",4857,"","Ike"
29,"Olimar",4832,"","Olimar"
30,"Steve",4826,"","Steve"
31,"Dark Pit",4813,"","Dark Pit"
32,"Sephiroth",4799,"","Sephiroth"
33,"Banjo & Kazooie",4799,"","Banjo-Kazooie"
34,"Ness",4765,"","Ness"
35,"Dr. Mario",4758,"","Dr Mario"
36,"Hero",4733,"","Hero"
37,"Isabelle",4708,"","Isabelle"
38,"Pit",4708,"","Pit"
39,"Roy",4693,"","Roy"
40,"Chrom",4666,"","Chrom"
41,"Cloud",4631,"","Cloud"
42,"Joker",4628,"","Joker"
43,"Young Link",4609,"","Young Link"
44,"Snake",4587,"","Snake"
45,"Palutena",4577,"","Palutena"
46,"Daisy",4518,"","Daisy"
47,"Falco",4506,"","Falco"
48,"Yoshi",4490,"","Yoshi"
49,"Lucario",4473,"","Lucario"
50,"Fox",4469,"","Fox"
51,"Piranha Plant",4434,"","Piranha Plant"
52,"Mewtwo",4372,"","Mewtwo"
53,"Sonic",4367,"","Sonic"
54,"Wolf",4350,"","Wolf"
55,"Luigi",4349,"","Luigi"
56,"Robin",4347,"","Robin"
57,"Ice Climbers",4345,"","Ice Climbers"
58,"Greninja",4338,"","Greninja"
59,"Bowser Jr.",4327,"","Bowser Jr"
60,"Mario",4303,"","Mario"
61,"Diddy Kong",4303,"","Diddy Kong"
62,"Wii Fit Trainer",4296,"","Wii Fit Trainer"
63,"Samus",4284,"","Samus"
64,"Toon Link",4237,"","Toon Link"
65,"Lucina",4226,"","Lucina"
66,"Inkling",4207,"","Inkling"
67,"Rosalina & Luma",4201,"","Rosalina And Luma"
68,"Duck Hunt",4135,"","Duck Hunt"
69,"Marth",4108,"","Marth"
70,"Mega Man",4101,"","Mega Man"
71,"Mr. Game & Watch",4056,"","Mr Game And Watch"
72,"Wario",4041,"","Wario"
73,"Pichu",4038,"","Pichu"
74,"Richter",4020,"","Richter"
75,"Pac-Man",4016,"","Pac Man"
76,"Peach",3971,"","Peach"
77,"Meta Knight",3960,"","Meta Knight"
78,"Ken",3945,"","Ken"
79,"Pikachu",3888,"","Pikachu"
80,"Jigglypuff",3829,"","Jigglypuff"
81,"Rob",3754,"","Rob"
82,"Villager",3640,"","Villager"
83,"Sheik",3602,"","Sheik"
84,"Zero Suit Samus",3592,"","Zero Suit Samus"
85,"Simon",3468,"","Simon"
86,"Bayonetta",3324,"","Bayonetta"
