Rank,Player,Points,Country,Characters
1,"Ganondorf",5507,"","Ganondorf"
2,"Zelda",5389,"","Zelda"
3,"Incineroar",5363,"","Incineroar"
4,"Dr. Mario",5300,"","Dr Mario"
5,"Corrin",5217,"","Corrin"
6,"Cloud",4991,"","Cloud"
7,"Bowser",4984,"","Bowser"
8,"Piranha Plant",4960,"","Piranha Plant"
9,"Pit",4926,"","Pit"
10,"Zero Suit Samus",4915,"","Zero Suit Samus"
11,"King K. Rool",4901,"","King K Rool"
12,"Captain Falcon",4877,"","Captain Falcon"
13,"Ness",4873,"","Ness"
14,"Ridley",4847,"","Ridley"
15,"Olimar",4834,"","Olimar"
16,"Donkey Kong",4814,"","Donkey Kong"
17,"Lucario",4723,"","Lucario"
18,"Luigi",4700,"","Luigi"
19,"Shulk",4696,"","Shulk"
20,"Snake",4667,"","Snake"
21,"Diddy Kong",4639,"","Diddy Kong"
22,"Lucas",4624,"","Lucas"
23,"Roy",4588,"","Roy"
24,"Wolf",4577,"","Wolf"
25,"Young Link",4576,"","Young Link"
26,"Greninja",4565,"","Greninja"
27,"Pokemon Trainer",4544,"","Pokemon Trainer"
28,"Inkling",4515,"","Inkling"
29,"Jigglypuff",4505,"","Jigglypuff"
30,"Marth",4482,"","Marth"
31,"Mewtwo",4478,"","Mewtwo"
32,"Palutena",4402,"","Palutena"
33,"Yoshi",4386,"","Yoshi"
34,"Mega Man",4385,"","Mega Man"
35,"Pichu",4379,"","Pichu"
36,"Pikachu",4342,"","Pikachu"
37,"Peach",4334,"","Peach"
38,"Kirby",4326,"","Kirby"
39,"Little Mac",4308,"","Little Mac"
40,"Robin",4290,"","Robin"
41,"Link",4263,"","Link"
42,"Mii Gunner",4262,"","Mii Gunner"
43,"Ice Climbers",4241,"","Ice Climbers"
44,"Mario",4225,"","Mario"
45,"Lucina",4216,"","Lucina"
46,"Ken",4178,"","Ken"
47,"Sheik",4148,"","Sheik"
48,"Isabelle",4136,"","Isabelle"
49,"Fox",4106,"","Fox"
50,"Ike",4085,"","Ike"
51,"Toon Link",4072,"","Toon Link"
52,"King Dedede",4034,"","King Dedede"
53,"Meta Knight",4019,"","Meta Knight"
54,"Falco",3997,"","Falco"
55,"Mr. Game & Watch",3916,"","Mr Game And Watch"
56,"Samus",3812,"","Samus"
57,"Sonic",3649,"","Sonic"
58,"Rob",3633,"","Rob"
59,"Pac-Man",3614,"","Pac Man"
60,"Daisy",3583,"","Daisy"
61,"Wii Fit Trainer",3548,"","Wii Fit Trainer"
62,"Bayonetta",3421,"","Bayonetta"
63,"Mii Swordfighter",3364,"","Mii Swordfighter"
64,"Simon",2058,"","Simon"
65,"Villager",0,"","Villager"
